"","X","Y","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","ordinal_day","log_area","boxcox_ffmc","log_isi","log_RH","log_rain"
"6",8,6,92.3,85.3,488,14.7,22.2,29,5.4,0,0,7,0,0.890511365671336,2.75366071235426,3.40119738166216,0
"7",8,6,92.3,88.9,495.6,8.5,24.1,27,3.1,0,0,1,0,0.890511365671336,2.2512917986065,3.3322045101752,0
"8",8,6,91.5,145.4,608.2,10.7,8,86,2.2,0,0,1,0,0.868612108868087,2.45958884180371,4.46590811865458,0
"9",8,6,91,129.5,692.6,7,13.1,63,5.4,0,0,2,0,0.855021873406793,2.07944154167984,4.15888308335967,0
"10",7,5,92.5,88,698.6,7.1,22.8,40,4,0,0,6,0,0.896015964488192,2.09186406167839,3.71357206670431,0
"11",7,5,92.5,88,698.6,7.1,17.8,51,7.2,0,0,6,0,0.896015964488192,2.09186406167839,3.95124371858143,0
"12",7,5,92.8,73.2,713,22.6,19.3,38,4,0,0,6,0,0.904295201167826,3.16124671203156,3.66356164612965,0
"13",6,5,63.5,70.8,665.3,0.8,17,72,6.7,0,0,5,0,0.222230697888471,0.587786664902119,4.29045944114839,0
"14",6,5,90.9,126.5,686.5,7,21.3,42,2.2,0,0,1,0,0.85231276170625,2.07944154167984,3.76120011569356,0
"15",6,5,92.9,133.3,699.6,9.2,26.4,21,4.5,0,0,3,0,0.907060903647922,2.32238772029023,3.09104245335832,0
"16",6,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0,0,5,0,0.918153498163136,2.70136121295141,3.80666248977032,0
"21",6,4,91,129.5,692.6,7,18.3,40,2.7,0,0,2,0,0.855021873406793,2.07944154167984,3.71357206670431,0
"22",5,4,91.8,78.5,724.3,9.2,19.1,38,2.7,0,0,1,0,0.876801991703126,2.32238772029023,3.66356164612965,0
"24",7,4,90.2,110.9,537.4,6.2,19.5,43,5.8,0,0,6,0,0.833432376820908,1.97408102602201,3.78418963391826,0
"25",7,4,93.5,139.4,594.2,20.3,23.7,32,5.8,0,0,6,0,0.923717666174362,3.05870707271538,3.49650756146648,0
"26",7,4,91.4,142.4,601.4,10.6,16.3,60,5.4,0,0,7,0,0.865888104848815,2.45100509811232,4.11087386417331,0
"27",7,4,92.4,117.9,668,12.2,19,34,5.8,0,0,5,0,0.893262175849317,2.58021682959233,3.55534806148941,0
"28",7,4,90.9,126.5,686.5,7,19.4,48,1.3,0,0,1,0,0.85231276170625,2.07944154167984,3.89182029811063,0
"29",6,3,93.4,145.4,721.4,8.1,30.2,24,2.7,0,0,6,0,0.920934092939476,2.2082744135228,3.2188758248682,0
"30",6,3,93.5,149.3,728.6,8.1,22.8,39,3.6,0,0,7,0,0.923717666174362,2.2082744135228,3.68887945411394,0
"31",6,3,94.3,85.1,692.3,15.9,25.4,24,3.6,0,0,5,0,0.946093476533177,2.82731362192903,3.2188758248682,0
"32",6,3,88.6,91.8,709.9,7.1,11.2,78,7.6,0,0,1,0,0.790825249274601,2.09186406167839,4.36944785246702,0
"33",6,3,88.6,69.7,706.8,5.8,20.6,37,1.8,0,0,5,0,0.790825249274601,1.91692261218206,3.63758615972639,0
"34",6,3,91.7,75.6,718.3,7.8,17.7,39,3.6,0,0,7,0,0.87406905229548,2.17475172148416,3.68887945411394,0
"35",6,3,91.8,78.5,724.3,9.2,21.2,32,2.7,0,0,1,0,0.876801991703126,2.32238772029023,3.49650756146648,0
"36",6,3,90.3,80.7,730.2,6.3,18.2,62,4.5,0,0,2,0,0.836120639265151,1.98787434815435,4.14313472639153,0
"42",4,4,90.2,96.9,624.2,8.9,18.4,42,6.7,0,0,6,0,0.833432376820908,2.29253475714054,3.76120011569356,0
"43",4,4,94.8,108.3,647.1,17,16.6,54,5.4,0,0,2,0,0.960175157849778,2.89037175789616,4.00733318523247,0
"44",4,4,92.5,88,698.6,7.1,19.6,48,2.7,0,0,6,0,0.896015964488192,2.09186406167839,3.89182029811063,0
"45",4,4,90.1,82.9,735.7,6.2,12.9,74,4.9,0,0,3,0,0.830747092842814,1.97408102602201,4.31748811353631,0
"46",5,6,94.3,85.1,692.3,15.9,25.9,24,4,0,0,3,0,0.946093476533177,2.82731362192903,3.2188758248682,0
"47",5,6,90.9,126.5,686.5,7,14.7,70,3.6,0,0,1,0,0.85231276170625,2.07944154167984,4.26267987704132,0
"51",4,4,92.9,137,706.4,9.2,20.8,17,1.3,0,0,4,0,0.907060903647922,2.32238772029023,2.89037175789616,0
"52",4,3,90.2,99.6,631.2,6.3,21.5,34,2.2,0,0,7,0,0.833432376820908,1.98787434815435,3.55534806148941,0
"53",4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0,3,0,0.885018680699004,2.36085400111802,3.76120011569356,0
"54",4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0,3,0,0.885018680699004,2.36085400111802,3.76120011569356,0
"55",4,3,91.7,114.3,661.3,6.3,17.6,45,3.6,0,0,4,0,0.87406905229548,1.98787434815435,3.8286413964891,0
"56",4,3,92.9,137,706.4,9.2,27.7,24,2.2,0,0,4,0,0.907060903647922,2.32238772029023,3.2188758248682,0
"57",4,3,90.3,80.7,730.2,6.3,17.8,63,4.9,0,0,2,0,0.836120639265151,1.98787434815435,4.15888308335967,0
"63",2,2,93,75.3,466.6,7.7,18.8,35,4.9,0,0,4,0,0.909829584587736,2.16332302566054,3.58351893845611,0
"64",2,2,90.2,99.6,631.2,6.3,20.8,33,2.7,0,0,7,0,0.833432376820908,1.98787434815435,3.52636052461616,0
"65",2,2,91.1,103.2,638.8,5.8,23.1,31,3.1,0,0,1,0,0.857733963571561,1.91692261218206,3.46573590279973,0
"66",2,2,91.7,114.3,661.3,6.3,18.6,44,4.5,0,0,4,0,0.87406905229548,1.98787434815435,3.80666248977032,0
"67",2,2,92.4,117.9,668,12.2,23,37,4.5,0,0,5,0,0.893262175849317,2.58021682959233,3.63758615972639,0
"68",2,2,92.4,117.9,668,12.2,19.6,33,5.4,0,0,5,0,0.893262175849317,2.58021682959233,3.52636052461616,0
"69",2,2,92.4,117.9,668,12.2,19.6,33,6.3,0,0,5,0,0.893262175849317,2.58021682959233,3.52636052461616,0
"72",4,5,94.3,85.1,692.3,15.9,17.7,37,3.6,0,0,5,0,0.946093476533177,2.82731362192903,3.63758615972639,0
"74",5,4,88.8,147.3,614.5,9,17.3,43,4.5,0,0,2,0,0.796109441657722,2.30258509299405,3.78418963391826,0
"75",5,4,93.3,141.2,713.9,13.9,27.6,30,1.3,0,0,5,0,0.918153498163136,2.70136121295141,3.43398720448515,0
"79",1,2,90.1,108,529.8,12.5,14.7,66,2.7,0,0,5,0,0.830747092842814,2.60268968544438,4.20469261939097,0
"80",1,2,91,121.2,561.6,7,21.6,19,6.7,0,0,2,0,0.855021873406793,2.07944154167984,2.99573227355399,0
"81",1,2,91.4,142.4,601.4,10.6,19.5,39,6.3,0,0,7,0,0.865888104848815,2.45100509811232,3.68887945411394,0
"82",1,2,90.2,99.6,631.2,6.3,17.9,44,2.2,0,0,7,0,0.833432376820908,1.98787434815435,3.80666248977032,0
"83",1,2,94.8,108.3,647.1,17,18.6,51,4.5,0,0,2,0,0.960175157849778,2.89037175789616,3.95124371858143,0
"84",1,2,92.1,111.2,654.1,9.6,16.6,47,0.9,0,0,3,0,0.885018680699004,2.36085400111802,3.87120101090789,0
"85",1,2,91.7,114.3,661.3,6.3,20.2,45,3.6,0,0,4,0,0.87406905229548,1.98787434815435,3.8286413964891,0
"86",1,2,92.9,137,706.4,9.2,21.5,15,0.9,0,0,4,0,0.907060903647922,2.32238772029023,2.77258872223978,0
"87",1,2,92.9,137,706.4,9.2,25.4,27,2.2,0,0,4,0,0.907060903647922,2.32238772029023,3.3322045101752,0
"88",1,2,92.9,137,706.4,9.2,22.4,34,2.2,0,0,4,0,0.907060903647922,2.32238772029023,3.55534806148941,0
"89",1,2,93.5,149.3,728.6,8.1,25.3,36,3.6,0,0,7,0,0.923717666174362,2.2082744135228,3.61091791264422,0
"91",6,5,90.2,96.9,624.2,8.9,14.7,59,5.8,0,0,6,0,0.833432376820908,2.29253475714054,4.0943445622221,0
"93",8,6,92.3,85.3,488,14.7,20.8,32,6.3,0,0,7,0,0.890511365671336,2.75366071235426,3.49650756146648,0
"94",8,6,91.4,142.4,601.4,10.6,18.2,43,4.9,0,0,7,0,0.865888104848815,2.45100509811232,3.78418963391826,0
"95",8,6,91.1,103.2,638.8,5.8,23.4,22,2.7,0,0,1,0,0.857733963571561,1.91692261218206,3.13549421592915,0
"96",4,4,89.7,90,704.4,4.8,17.8,64,1.3,0,0,7,0,0.820035741596787,1.75785791755237,4.17438726989564,0
"99",3,4,91.4,142.4,601.4,10.6,11.6,87,4.5,0,0,7,0,0.865888104848815,2.45100509811232,4.47733681447821,0
"100",3,4,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0,7,0,0.865888104848815,2.45100509811232,3.68887945411394,0
"101",3,4,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0,7,0,0.865888104848815,2.45100509811232,3.68887945411394,0
"102",3,4,88.8,147.3,614.5,9,14.4,66,5.4,0,0,2,0,0.796109441657722,2.30258509299405,4.20469261939097,0
"103",2,4,94.8,108.3,647.1,17,20.1,40,4,0,0,2,0,0.960175157849778,2.89037175789616,3.71357206670431,0
"104",2,4,92.5,121.1,674.4,8.6,24.1,29,4.5,0,0,6,0,0.896015964488192,2.26176309847379,3.40119738166216,0
"108",4,5,90.2,99.6,631.2,6.3,21.4,33,3.1,0,0,7,0,0.833432376820908,1.98787434815435,3.52636052461616,0
"109",4,5,92.5,88,698.6,7.1,20.3,45,3.1,0,0,6,0,0.896015964488192,2.09186406167839,3.8286413964891,0
"110",4,5,88.6,91.8,709.9,7.1,17.4,56,5.4,0,0,1,0,0.790825249274601,2.09186406167839,4.04305126783455,0
"113",3,4,89.7,90,704.4,4.8,22.8,39,3.6,0,0,7,0,0.820035741596787,1.75785791755237,3.68887945411394,0
"114",3,4,91.8,78.5,724.3,9.2,18.9,35,2.7,0,0,1,0,0.876801991703126,2.32238772029023,3.58351893845611,0
"120",3,4,93,75.3,466.6,7.7,19.6,36,3.1,0,0,4,0,0.909829584587736,2.16332302566054,3.61091791264422,0
"121",3,4,91.5,145.4,608.2,10.7,10.3,74,2.2,0,0,1,0,0.868612108868087,2.45958884180371,4.31748811353631,0
"122",3,4,91.5,145.4,608.2,10.7,17.1,43,5.4,0,0,1,0,0.868612108868087,2.45958884180371,3.78418963391826,0
"123",3,4,92.4,124.1,680.7,8.5,22.5,42,5.4,0,0,7,0,0.893262175849317,2.2512917986065,3.76120011569356,0
"124",3,4,84.4,73.4,671.9,3.2,17.9,45,3.1,0,0,2,0,0.682609318628209,1.43508452528932,3.8286413964891,0
"125",3,4,94.3,85.1,692.3,15.9,19.8,50,5.4,0,0,5,0,0.946093476533177,2.82731362192903,3.93182563272433,0
"128",3,5,93.5,149.3,728.6,8.1,17.2,43,3.1,0,0,5,0,0.923717666174362,2.2082744135228,3.78418963391826,0
"134",4,6,93.7,80.9,685.2,17.9,17.6,42,3.1,0,0,4,0,0.929293748018841,2.9391619220656,3.76120011569356,0
"136",3,5,93.5,139.4,594.2,20.3,17.6,52,5.8,0,0,6,0,0.923717666174362,3.05870707271538,3.97029191355212,0
"137",3,6,92.4,124.1,680.7,8.5,17.2,58,1.3,0,0,7,0,0.893262175849317,2.2512917986065,4.07753744390572,0
"138",3,6,90.9,126.5,686.5,7,15.6,66,3.1,0,0,1,0,0.85231276170625,2.07944154167984,4.20469261939097,0
"140",1,4,91,129.5,692.6,7,21.7,38,2.2,0,0.43,2,0.0511283436526436,0.855021873406793,2.07944154167984,3.66356164612965,0
"141",2,5,90.9,126.5,686.5,7,21.9,39,1.8,0,0.47,1,0.0550719480788434,0.85231276170625,2.07944154167984,3.68887945411394,0
"142",1,2,95.5,99.9,513.3,13.2,23.3,31,4.5,0,0.55,3,0.0626470497821904,0.980014606809284,2.65324196460721,3.46573590279973,0
"143",8,6,90.1,108,529.8,12.5,21.2,51,8.9,0,0.61,5,0.0680760539446227,0.830747092842814,2.60268968544438,3.95124371858143,0
"145",2,5,95.5,99.9,513.3,13.2,23.8,32,5.4,0,0.77,3,0.0816195815608251,0.980014606809284,2.65324196460721,3.49650756146648,0
"146",6,5,95.2,131.7,578.8,10.4,27.4,22,4,0,0.9,4,0.0917508270232124,0.971494115099878,2.43361335540045,3.13549421592915,0
"148",8,3,84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96,2,0.0961951205575611,0.682609318628209,1.43508452528932,3.36729582998647,0
"149",2,2,94.8,108.3,647.1,17,17.4,43,6.7,0,1.07,2,0.104000595548856,0.960175157849778,2.89037175789616,3.78418963391826,0
"150",8,6,93.7,80.9,685.2,17.9,23.7,25,4.5,0,1.12,4,0.107412370728842,0.929293748018841,2.9391619220656,3.25809653802148,0
"154",5,4,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1.46,5,0.128674999234227,0.946093476533177,2.82731362192903,3.87120101090789,0
"155",1,5,93.4,145.4,721.4,8.1,29.6,27,2.7,0,1.46,6,0.128674999234227,0.920934092939476,2.2082744135228,3.3322045101752,0
"156",7,4,94.8,108.3,647.1,17,16.4,47,1.3,0,1.56,7,0.134370836155147,0.960175157849778,2.89037175789616,3.87120101090789,0
"157",2,4,93.4,145.4,721.4,8.1,28.6,27,2.2,0,1.61,6,0.137135846815937,0.920934092939476,2.2082744135228,3.3322045101752,0
"158",2,2,92.1,111.2,654.1,9.6,18.4,45,3.6,0,1.63,3,0.138227047490618,0.885018680699004,2.36085400111802,3.8286413964891,0
"159",2,4,92.1,111.2,654.1,9.6,20.5,35,4,0,1.64,3,0.138769539960443,0.885018680699004,2.36085400111802,3.58351893845611,0
"160",7,4,92.4,117.9,668,12.2,19,34,5.8,0,1.69,5,0.141451543479808,0.893262175849317,2.58021682959233,3.55534806148941,0
"162",6,4,95.2,131.7,578.8,10.4,20.3,41,4,0,1.9,4,0.152196773695799,0.971494115099878,2.43361335540045,3.73766961828337,0
"164",8,6,92.5,121.1,674.4,8.6,17.8,56,1.8,0,1.95,6,0.154640364724845,0.896015964488192,2.26176309847379,4.04305126783455,0
"165",8,5,89.7,90,704.4,4.8,17.8,67,2.2,0,2.01,7,0.157518581307102,0.820035741596787,1.75785791755237,4.21950770517611,0
"167",6,5,92.1,111.2,654.1,9.6,16.6,47,0.9,0,2.29,3,0.1702333214987,0.885018680699004,2.36085400111802,3.87120101090789,0
"168",6,5,96,127.1,570.5,16.5,23.4,33,4.5,0,2.51,3,0.179486036221104,0.994274995395866,2.86220088092947,3.52636052461616,0
"170",8,6,95.2,131.7,578.8,10.4,20.7,45,2.2,0,2.55,4,0.181105844989489,0.971494115099878,2.43361335540045,3.8286413964891,0
"171",5,4,92.9,133.3,699.6,9.2,21.9,35,1.8,0,2.57,3,0.181908917855802,0.907060903647922,2.32238772029023,3.58351893845611,0
"172",8,6,85.6,90.4,609.6,6.6,17.4,50,4,0,2.69,3,0.186634855518385,0.712992030265915,2.02814824729229,3.93182563272433,0
"173",7,4,91.4,142.4,601.4,10.6,20.1,39,5.4,0,2.74,7,0.188558795654451,0.865888104848815,2.45100509811232,3.68887945411394,0
"174",4,4,90.9,126.5,686.5,7,17.7,39,2.2,0,3.07,1,0.200645986290255,0.85231276170625,2.07944154167984,3.68887945411394,0
"175",1,4,90.2,96.9,624.2,8.9,14.2,53,1.8,0,3.5,6,0.215002741331192,0.833432376820908,2.29253475714054,3.98898404656427,0
"176",1,4,90.2,96.9,624.2,8.9,20.3,39,4.9,0,4.53,6,0.244465523728469,0.833432376820908,2.29253475714054,3.68887945411394,0
"178",2,5,90.2,99.6,631.2,6.3,19.2,44,2.7,0,4.69,7,0.248542708328436,0.833432376820908,1.98787434815435,3.80666248977032,0
"179",2,5,90.1,82.9,735.7,6.2,18.3,45,2.2,0,4.88,3,0.253238005604595,0.830747092842814,1.97408102602201,3.8286413964891,0
"180",8,6,88.8,147.3,614.5,9,14.4,66,5.4,0,5.23,2,0.261503116343135,0.796109441657722,2.30258509299405,4.20469261939097,0
"181",1,3,92.4,124.1,680.7,8.5,23.9,32,6.7,0,5.33,7,0.263779384094865,0.893262175849317,2.2512917986065,3.49650756146648,0
"185",8,6,93.9,135.7,586.7,15.1,20.8,34,4.9,0,6.96,5,0.296532560506504,0.934881743694709,2.77881927199042,3.55534806148941,0
"186",2,5,91,129.5,692.6,7,17.6,46,3.1,0,7.04,2,0.297962038361223,0.855021873406793,2.07944154167984,3.85014760171006,0
"188",1,5,90.9,126.5,686.5,7,21,42,2.2,0,7.3,1,0.302511518366685,0.85231276170625,2.07944154167984,3.76120011569356,0
"192",2,5,95.2,131.7,578.8,10.4,24.2,28,2.7,0,8.68,4,0.32449761748605,0.971494115099878,2.43361335540045,3.36729582998647,0
"193",2,2,94.8,108.3,647.1,17,24.6,22,4.5,0,8.71,2,0.324939948713366,0.960175157849778,2.89037175789616,3.13549421592915,0
"194",4,5,92.9,133.3,699.6,9.2,24.3,25,4,0,9.41,3,0.334890546952108,0.907060903647922,2.32238772029023,3.25809653802148,0
"195",2,2,94.8,108.3,647.1,17,24.6,22,4.5,0,10.01,2,0.342900854988878,0.960175157849778,2.89037175789616,3.13549421592915,0
"196",2,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0,10.02,5,0.343030629481888,0.934881743694709,2.77881927199042,3.61091791264422,0
"198",4,5,92.9,137,706.4,9.2,21.5,15,0.9,0,11.06,4,0.355921894645381,0.907060903647922,2.32238772029023,2.77258872223978,0
"199",3,4,91,129.5,692.6,7,13.9,59,6.3,0,11.24,2,0.358039660701629,0.855021873406793,2.07944154167984,4.0943445622221,0
"200",2,4,63.5,70.8,665.3,0.8,22.6,38,3.6,0,11.32,1,0.358970912166119,0.222230697888471,0.587786664902119,3.66356164612965,0
"201",1,5,91,129.5,692.6,7,21.6,33,2.2,0,11.53,2,0.361386968456713,0.855021873406793,2.07944154167984,3.52636052461616,0
"206",4,5,92.9,137,706.4,9.2,22.1,34,1.8,0,14.57,4,0.392437858666426,0.907060903647922,2.32238772029023,3.55534806148941,0
"207",2,2,93.5,139.4,594.2,20.3,22.9,31,7.2,0,15.45,6,0.400296989709753,0.923717666174362,3.05870707271538,3.46573590279973,0
"208",7,5,91,129.5,692.6,7,20.7,37,2.2,0,17.2,2,0.414748335306642,0.855021873406793,2.07944154167984,3.63758615972639,0
"209",6,5,92.4,117.9,668,12.2,19.6,33,6.3,0,19.23,5,0.429864231075562,0.893262175849317,2.58021682959233,3.52636052461616,0
"210",8,3,93.7,80.9,685.2,17.9,23.2,26,4.9,0,23.41,4,0.456713351422618,0.929293748018841,2.9391619220656,3.29583686600433,0
"212",7,4,93.5,139.4,594.2,20.3,5.1,96,5.8,0,26,6,0.471128655141101,0.923717666174362,3.05870707271538,4.57471097850338,0
"213",7,4,94.3,85.1,692.3,15.9,20.1,47,4.9,0,26.13,5,0.47181526489459,0.946093476533177,2.82731362192903,3.87120101090789,0
"217",4,4,92.4,124.1,680.7,8.5,16.9,60,1.3,0,29.48,7,0.488458623221918,0.893262175849317,2.2512917986065,4.11087386417331,0
"218",1,3,88.6,91.8,709.9,7.1,12.4,73,6.3,0,30.32,1,0.492344789388723,0.790825249274601,2.09186406167839,4.30406509320417,0
"219",4,5,92.9,133.3,699.6,9.2,19.4,19,1.3,0,31.72,3,0.498595792581209,0.907060903647922,2.32238772029023,2.99573227355399,0
"221",8,6,90.2,99.6,631.2,6.3,16.2,59,3.1,0,32.07,7,0.500116746525087,0.833432376820908,1.98787434815435,4.0943445622221,0
"222",3,4,93.3,141.2,713.9,13.9,18.6,49,3.6,0,35.88,5,0.51570405365917,0.918153498163136,2.70136121295141,3.91202300542815,0
"225",7,4,90.1,82.9,735.7,6.2,15.4,57,4.5,0,37.71,3,0.522626752218304,0.830747092842814,1.97408102602201,4.06044301054642,0
"226",4,4,93.5,149.3,728.6,8.1,22.9,39,4.9,0,48.55,7,0.557918021527633,0.923717666174362,2.2082744135228,3.68887945411394,0
"228",8,6,92.2,81.8,480.8,11.9,20.1,34,4.5,0,58.3,6,0.58359509587497,0.887763533954487,2.55722731136763,3.55534806148941,0
"229",4,6,93.5,149.3,728.6,8.1,28.3,26,3.1,0,64.1,7,0.596934192081934,0.923717666174362,2.2082744135228,3.29583686600433,0
"230",8,6,92.2,81.8,480.8,11.9,16.4,43,4,0,71.3,6,0.61192922977223,0.887763533954487,2.55722731136763,3.78418963391826,0
"231",4,4,92.9,133.3,699.6,9.2,26.4,21,4.5,0,88.49,3,0.642420132573016,0.907060903647922,2.32238772029023,3.09104245335832,0
"232",1,5,93.5,149.3,728.6,8.1,27.8,27,3.1,0,95.18,7,0.652725802765939,0.923717666174362,2.2082744135228,3.3322045101752,0
"233",6,4,91,129.5,692.6,7,18.7,43,2.7,0,103.39,2,0.664434908457307,0.855021873406793,2.07944154167984,3.78418963391826,0
"234",9,4,84.4,73.4,671.9,3.2,24.3,36,3.1,0,105.66,2,0.667510021299931,0.682609318628209,1.43508452528932,3.61091791264422,0
"235",4,5,92.5,121.1,674.4,8.6,17.7,25,3.1,0,154.88,6,0.721749716368414,0.896015964488192,2.26176309847379,3.25809653802148,0
"236",8,6,91.4,142.4,601.4,10.6,19.6,41,5.8,0,196.48,7,0.755563852297201,0.865888104848815,2.45100509811232,3.73766961828337,0
"237",2,2,92.5,121.1,674.4,8.6,18.2,46,1.8,0,200.94,6,0.758756322926158,0.896015964488192,2.26176309847379,3.85014760171006,0
"238",1,2,91,129.5,692.6,7,18.8,40,2.2,0,212.88,2,0.766967816629388,0.855021873406793,2.07944154167984,3.71357206670431,0
"239",6,5,92.5,121.1,674.4,8.6,25.1,27,4,0,1090.84,6,1,0.896015964488192,2.26176309847379,3.3322045101752,0
"243",2,4,94.2,122.3,589.9,12.9,15.4,66,4,0,10.13,7,0.344450426739959,0.943286075638299,2.63188884013665,4.20469261939097,0
"244",7,4,91.8,175.1,700.7,13.8,21.9,73,7.6,1,0,7,0,0.876801991703126,2.69462718077007,4.30406509320417,0.693147180559945
"245",2,4,91.8,175.1,700.7,13.8,22.4,54,7.6,0,2.87,7,0.193443122911335,0.876801991703126,2.69462718077007,4.00733318523247,0
"246",3,4,91.8,175.1,700.7,13.8,26.8,38,6.3,0,0.76,7,0.080809683676285,0.876801991703126,2.69462718077007,3.66356164612965,0
"247",5,4,91.8,175.1,700.7,13.8,25.7,39,5.4,0,0.09,7,0.0123188081764579,0.876801991703126,2.69462718077007,3.68887945411394,0
"248",2,4,92.2,91.6,503.6,9.6,20.7,70,2.2,0,0.75,3,0.0799951709640829,0.887763533954487,2.36085400111802,4.26267987704132,0
"249",8,6,93.1,157.3,666.7,13.5,28.7,28,2.7,0,0,3,0,0.912601243987032,2.67414864942653,3.36729582998647,0
"250",3,4,93.1,157.3,666.7,13.5,21.7,40,0.4,0,2.47,3,0.177847661905074,0.912601243987032,2.67414864942653,3.71357206670431,0
"251",8,5,93.1,157.3,666.7,13.5,26.8,25,3.1,0,0.68,3,0.0741598058776363,0.912601243987032,2.67414864942653,3.25809653802148,0
"252",8,5,93.1,157.3,666.7,13.5,24,36,3.1,0,0.24,3,0.030749439096888,0.912601243987032,2.67414864942653,3.61091791264422,0
"253",6,5,93.1,157.3,666.7,13.5,22.1,37,3.6,0,0.21,3,0.0272485311974231,0.912601243987032,2.67414864942653,3.63758615972639,0
"254",7,4,91.9,109.2,565.5,8,21.4,38,2.7,0,1.52,4,0.132119662161794,0.879537909573086,2.19722457733622,3.66356164612965,0
"255",6,3,91.6,138.1,621.7,6.3,18.9,41,3.1,0,10.34,4,0.347122403492986,0.871339091350388,1.98787434815435,3.73766961828337,0
"256",2,5,87.5,77,694.8,5,22.3,46,4,0,0,4,0,0.761975151829254,1.79175946922805,3.85014760171006,0
"257",8,6,94.2,117.2,581.1,11,23.9,41,2.2,0,8.02,6,0.314403076759834,0.943286075638299,2.484906649788,3.73766961828337,0
"258",4,3,94.2,117.2,581.1,11,21.4,44,2.7,0,0.68,6,0.0741598058776363,0.943286075638299,2.484906649788,3.80666248977032,0
"259",3,4,91.8,170.9,692.3,13.7,20.6,59,0.9,0,0,6,0,0.876801991703126,2.68784749378469,4.0943445622221,0
"260",7,4,91.8,170.9,692.3,13.7,23.7,40,1.8,0,1.38,6,0.123949061571644,0.876801991703126,2.68784749378469,3.71357206670431,0
"261",2,4,93.6,97.9,542,14.4,28.3,32,4,0,8.85,1,0.32698625392252,0.926504217867561,2.73436750941958,3.49650756146648,0
"262",3,4,91.6,112.4,573,8.9,11.2,84,7.6,0,3.3,5,0.208504049791197,0.871339091350388,2.29253475714054,4.44265125649032,0
"263",2,4,91.6,112.4,573,8.9,21.4,42,3.1,0,4.25,5,0.237038056011117,0.871339091350388,2.29253475714054,3.76120011569356,0
"264",6,3,91.1,141.1,629.1,7.1,19.3,39,3.6,0,1.56,5,0.134370836155147,0.857733963571561,2.09186406167839,3.68887945411394,0
